CustomerID,OrderCount,LogOrderCount,Cluster_3
12346,1,0.6931471805599453,1
12347,182,5.209486152841421,0
12348,31,3.4657359027997265,2
12349,73,4.30406509320417,0
12350,17,2.8903717578961645,2
12352,85,4.454347296253507,0
12353,4,1.6094379124341003,1
12354,58,4.07753744390572,0
12355,13,2.6390573296152584,1
12356,59,4.0943445622221,0
12357,131,4.882801922586371,0
12358,19,2.995732273553991,2
12359,245,5.5053315359323625,0
12360,129,4.867534450455582,0
12361,10,2.3978952727983707,1
12362,266,5.58724865840025,0
12363,23,3.1780538303479458,2
12364,85,4.454347296253507,0
12365,22,3.1354942159291497,2
12367,11,2.4849066497880004,1
12370,166,5.117993812416755,0
12371,63,4.1588830833596715,0
12372,52,3.970291913552122,0
12373,14,2.70805020110221,1
12374,33,3.5263605246161616,2
12375,17,2.8903717578961645,2
12377,77,4.356708826689592,0
12378,219,5.393627546352362,0
12379,40,3.713572066704308,0
12380,104,4.653960350157523,0
12381,87,4.477336814478207,0
12383,99,4.605170185988092,0
12384,27,3.332204510175204,2
12386,10,2.3978952727983707,1
12388,100,4.61512051684126,0
12390,32,3.4965075614664802,2
12391,93,4.543294782270004,0
12393,64,4.174387269895637,0
12394,27,3.332204510175204,2
12395,156,5.056245805348308,0
12397,126,4.844187086458591,0
12398,85,4.454347296253507,0
12399,59,4.0943445622221,0
12401,5,1.791759469228055,1
12402,11,2.4849066497880004,1
12403,5,1.791759469228055,1
12405,54,4.007333185232471,0
12406,105,4.663439094112067,0
12407,77,4.356708826689592,0
12408,105,4.663439094112067,0
12409,109,4.700480365792417,0
12410,26,3.295836866004329,2
12412,61,4.127134385045092,0
12413,38,3.6635616461296463,2
12414,18,2.9444389791664403,2
12415,714,6.5722825426940075,0
12417,192,5.262690188904886,0
12418,34,3.5553480614894135,2
12420,29,3.4011973816621555,2
12421,45,3.828641396489095,0
12422,39,3.6888794541139363,2
12423,125,4.836281906951478,0
12424,30,3.4339872044851463,2
12425,36,3.6109179126442243,2
12426,30,3.4339872044851463,2
12427,31,3.4657359027997265,2
12428,294,5.68697535633982,0
12429,97,4.584967478670572,0
12430,11,2.4849066497880004,1
12431,234,5.459585514144159,0
12432,108,4.6913478822291435,0
12433,420,6.042632833682381,0
12434,50,3.9318256327243257,0
12435,36,3.6109179126442243,2
12436,16,2.833213344056216,2
12437,199,5.298317366548036,0
12438,98,4.59511985013459,0
12441,11,2.4849066497880004,1
12442,12,2.5649493574615367,1
12444,176,5.176149732573829,0
12445,4,1.6094379124341003,1
12446,57,4.060443010546419,0
12447,26,3.295836866004329,2
12448,22,3.1354942159291497,2
12449,191,5.2574953720277815,0
12450,8,2.1972245773362196,1
12451,354,5.872117789475416,0
12452,22,3.1354942159291497,2
12453,43,3.784189633918261,0
12454,15,2.772588722239781,1
12455,90,4.51085950651685,0
12456,125,4.836281906951478,0
12457,62,4.143134726391533,0
12458,38,3.6635616461296463,2
12461,35,3.58351893845611,2
12462,62,4.143134726391533,0
12463,83,4.430816798843313,0
12464,29,3.4011973816621555,2
12465,47,3.871201010907891,0
12468,38,3.6635616461296463,2
12471,459,6.131226489483141,0
12472,339,5.8289456176102075,0
12473,167,5.123963979403259,0
12474,422,6.0473721790462776,0
12475,36,3.6109179126442243,2
12476,233,5.455321115357702,0
12477,300,5.707110264748875,0
12478,36,3.6109179126442243,2
12479,31,3.4657359027997265,2
12480,154,5.043425116919247,0
12481,216,5.37989735354046,0
12483,75,4.330733340286331,0
12484,343,5.840641657373398,0
12488,55,4.02535169073515,0
12489,15,2.772588722239781,1
12490,245,5.5053315359323625,0
12491,26,3.295836866004329,2
12492,20,3.044522437723423,2
12493,22,3.1354942159291497,2
12494,77,4.356708826689592,0
12497,14,2.70805020110221,1
12498,23,3.1780538303479458,2
12500,61,4.127134385045092,0
12501,149,5.0106352940962555,0
12502,147,4.997212273764115,0
12504,9,2.302585092994046,1
12506,23,3.1780538303479458,2
