CustomerID,OrderCount,LogOrderCount,Cluster_3
12346,1,0.6931471805599453,0
12347,182,5.209486152841421,2
12348,31,3.4657359027997265,1
12349,73,4.30406509320417,1
12350,17,2.8903717578961645,0
12352,85,4.454347296253507,2
12353,4,1.6094379124341003,0
12354,58,4.07753744390572,1
12355,13,2.6390573296152584,0
12356,59,4.0943445622221,1
12357,131,4.882801922586371,2
12358,19,2.995732273553991,1
12359,245,5.5053315359323625,2
12360,129,4.867534450455582,2
12361,10,2.3978952727983707,0
12362,266,5.58724865840025,2
12363,23,3.1780538303479458,1
12364,85,4.454347296253507,2
12365,22,3.1354942159291497,1
12367,11,2.4849066497880004,0
12370,166,5.117993812416755,2
12371,63,4.1588830833596715,1
12372,52,3.970291913552122,1
12373,14,2.70805020110221,0
12374,33,3.5263605246161616,1
12375,17,2.8903717578961645,0
12377,77,4.356708826689592,1
12378,219,5.393627546352362,2
12379,40,3.713572066704308,1
12380,104,4.653960350157523,2
12381,87,4.477336814478207,2
12383,99,4.605170185988092,2
12384,27,3.332204510175204,1
12386,10,2.3978952727983707,0
12388,100,4.61512051684126,2
12390,32,3.4965075614664802,1
12391,93,4.543294782270004,2
12393,64,4.174387269895637,1
12394,27,3.332204510175204,1
12395,156,5.056245805348308,2
12397,126,4.844187086458591,2
12398,85,4.454347296253507,2
12399,59,4.0943445622221,1
12401,5,1.791759469228055,0
12402,11,2.4849066497880004,0
12403,5,1.791759469228055,0
12405,54,4.007333185232471,1
12406,105,4.663439094112067,2
12407,77,4.356708826689592,1
12408,105,4.663439094112067,2
12409,109,4.700480365792417,2
12410,26,3.295836866004329,1
12412,61,4.127134385045092,1
12413,38,3.6635616461296463,1
12414,18,2.9444389791664403,0
12415,714,6.5722825426940075,2
12417,192,5.262690188904886,2
12418,34,3.5553480614894135,1
12420,29,3.4011973816621555,1
12421,45,3.828641396489095,1
12422,39,3.6888794541139363,1
12423,125,4.836281906951478,2
12424,30,3.4339872044851463,1
12425,36,3.6109179126442243,1
12426,30,3.4339872044851463,1
12427,31,3.4657359027997265,1
12428,294,5.68697535633982,2
12429,97,4.584967478670572,2
12430,11,2.4849066497880004,0
12431,234,5.459585514144159,2
12432,108,4.6913478822291435,2
12433,420,6.042632833682381,2
12434,50,3.9318256327243257,1
12435,36,3.6109179126442243,1
12436,16,2.833213344056216,0
12437,199,5.298317366548036,2
12438,98,4.59511985013459,2
12441,11,2.4849066497880004,0
12442,12,2.5649493574615367,0
12444,176,5.176149732573829,2
12445,4,1.6094379124341003,0
12446,57,4.060443010546419,1
12447,26,3.295836866004329,1
12448,22,3.1354942159291497,1
12449,191,5.2574953720277815,2
12450,8,2.1972245773362196,0
12451,354,5.872117789475416,2
12452,22,3.1354942159291497,1
12453,43,3.784189633918261,1
12454,15,2.772588722239781,0
12455,90,4.51085950651685,2
12456,125,4.836281906951478,2
12457,62,4.143134726391533,1
12458,38,3.6635616461296463,1
12461,35,3.58351893845611,1
12462,62,4.143134726391533,1
12463,83,4.430816798843313,1
12464,29,3.4011973816621555,1
12465,47,3.871201010907891,1
12468,38,3.6635616461296463,1
12471,459,6.131226489483141,2
12472,339,5.8289456176102075,2
12473,167,5.123963979403259,2
12474,422,6.0473721790462776,2
12475,36,3.6109179126442243,1
12476,233,5.455321115357702,2
12477,300,5.707110264748875,2
12478,36,3.6109179126442243,1
12479,31,3.4657359027997265,1
12480,154,5.043425116919247,2
12481,216,5.37989735354046,2
12483,75,4.330733340286331,1
12484,343,5.840641657373398,2
12488,55,4.02535169073515,1
12489,15,2.772588722239781,0
12490,245,5.5053315359323625,2
12491,26,3.295836866004329,1
12492,20,3.044522437723423,1
12493,22,3.1354942159291497,1
12494,77,4.356708826689592,1
12497,14,2.70805020110221,0
12498,23,3.1780538303479458,1
12500,61,4.127134385045092,1
12501,149,5.0106352940962555,2
12502,147,4.997212273764115,2
12504,9,2.302585092994046,0
12506,23,3.1780538303479458,1
12507,21,3.091042453358316,1
12508,68,4.23410650459726,1
12509,7,2.0794415416798357,0
12510,33,3.5263605246161616,1
12512,31,3.4657359027997265,1
